Time,Number of Pedestrian,Danger groups,Risk Factor
2022-10-31 22:06:20,5,1,40.00%
2022-10-31 22:06:20,5,1,40.00%
2022-10-31 22:06:20,5,1,40.00%
2022-10-31 22:06:20,5,1,40.00%
2022-10-31 22:06:20,5,1,40.00%
2022-10-31 22:06:20,5,1,40.00%
2022-10-31 22:06:20,5,1,40.00%
2022-10-31 22:06:20,5,1,40.00%
2022-10-31 22:06:21,5,1,40.00%
2022-10-31 22:06:21,5,1,40.00%
2022-10-31 22:06:21,5,1,40.00%
2022-10-31 22:06:21,5,1,60.00%
2022-10-31 22:06:21,5,1,60.00%
2022-10-31 22:06:21,5,1,60.00%
2022-10-31 22:06:21,5,1,60.00%
2022-10-31 22:06:21,5,1,60.00%
2022-10-31 22:06:21,5,1,60.00%
2022-10-31 22:06:21,5,1,60.00%
2022-10-31 22:06:22,4,1,50.00%
2022-10-31 22:06:22,4,1,50.00%
2022-10-31 22:06:22,4,1,50.00%
2022-10-31 22:06:22,4,1,50.00%
2022-10-31 22:06:22,4,1,50.00%
2022-10-31 22:06:22,4,1,50.00%
2022-10-31 22:06:22,5,1,60.00%
2022-10-31 22:06:22,5,1,60.00%
2022-10-31 22:06:22,5,1,60.00%
2022-10-31 22:06:22,5,1,60.00%
2022-10-31 22:06:23,5,1,60.00%
2022-10-31 22:06:23,5,1,60.00%
2022-10-31 22:06:23,5,1,60.00%
2022-10-31 22:06:23,5,1,60.00%
2022-10-31 22:06:23,5,1,60.00%
2022-10-31 22:06:23,5,1,60.00%
2022-10-31 22:06:23,5,1,60.00%
2022-10-31 22:06:23,5,1,60.00%
2022-10-31 22:06:23,5,1,60.00%
2022-10-31 22:06:24,5,1,60.00%
2022-10-31 22:06:24,5,1,60.00%
2022-10-31 22:06:24,5,1,60.00%
2022-10-31 22:06:24,5,1,60.00%
2022-10-31 22:06:24,5,1,60.00%
2022-10-31 22:06:24,5,1,60.00%
2022-10-31 22:06:24,5,1,60.00%
2022-10-31 22:06:24,5,1,60.00%
2022-10-31 22:06:24,5,1,60.00%
2022-10-31 22:06:24,5,1,60.00%
2022-10-31 22:06:25,5,1,60.00%
2022-10-31 22:06:25,6,1,50.00%
2022-10-31 22:06:25,6,1,50.00%
2022-10-31 22:06:25,6,1,50.00%
2022-10-31 22:06:25,6,1,50.00%
2022-10-31 22:06:25,6,1,50.00%
2022-10-31 22:06:25,6,1,50.00%
2022-10-31 22:06:25,6,1,50.00%
2022-10-31 22:06:25,5,1,60.00%
2022-10-31 22:06:25,5,1,60.00%
2022-10-31 22:06:26,5,1,60.00%
2022-10-31 22:06:26,5,1,40.00%
2022-10-31 22:06:26,5,1,40.00%
2022-10-31 22:06:26,5,1,40.00%
2022-10-31 22:06:26,5,1,40.00%
2022-10-31 22:06:26,5,1,40.00%
2022-10-31 22:06:26,5,1,40.00%
2022-10-31 22:06:26,5,1,40.00%
2022-10-31 22:06:26,5,1,40.00%
2022-10-31 22:06:26,5,1,40.00%
2022-10-31 22:06:27,5,1,40.00%
2022-10-31 22:06:27,5,1,40.00%
2022-10-31 22:06:27,5,1,40.00%
2022-10-31 22:06:27,6,1,50.00%
2022-10-31 22:06:27,6,1,50.00%
2022-10-31 22:06:27,6,1,50.00%
2022-10-31 22:06:27,6,1,50.00%
2022-10-31 22:06:27,6,1,50.00%
2022-10-31 22:06:27,6,1,50.00%
2022-10-31 22:06:27,6,1,50.00%
2022-10-31 22:06:28,5,1,40.00%
2022-10-31 22:06:28,5,1,40.00%
2022-10-31 22:06:28,5,1,40.00%
2022-10-31 22:06:28,6,1,33.33%
2022-10-31 22:06:28,6,1,33.33%
2022-10-31 22:06:31,6,1,33.33%
2022-10-31 22:06:31,6,1,33.33%
2022-10-31 22:06:31,6,1,33.33%
2022-10-31 22:06:31,6,1,33.33%
2022-10-31 22:06:31,6,1,33.33%
2022-10-31 22:06:32,6,1,33.33%
2022-10-31 22:06:32,6,1,33.33%
2022-10-31 22:06:32,6,1,33.33%
2022-10-31 22:06:32,6,1,33.33%
2022-10-31 22:06:32,6,1,50.00%
2022-10-31 22:06:32,6,1,50.00%
2022-10-31 22:06:32,6,1,50.00%
2022-10-31 22:06:33,6,1,33.33%
2022-10-31 22:06:33,6,1,33.33%
2022-10-31 22:06:33,6,1,33.33%
2022-10-31 22:06:33,6,1,33.33%
2022-10-31 22:06:33,6,1,33.33%
2022-10-31 22:06:34,6,1,33.33%
2022-10-31 22:06:34,6,1,33.33%
2022-10-31 22:06:34,6,1,33.33%
2022-10-31 22:06:34,6,1,33.33%
2022-10-31 22:06:34,6,1,33.33%
2022-10-31 22:06:34,6,1,33.33%
2022-10-31 22:06:35,6,1,33.33%
2022-10-31 22:06:35,6,1,33.33%
2022-10-31 22:06:35,6,1,33.33%
2022-10-31 22:06:35,6,1,33.33%
2022-10-31 22:06:35,6,1,33.33%
2022-10-31 22:06:35,6,1,33.33%
2022-10-31 22:06:35,5,1,40.00%
2022-10-31 22:06:35,5,1,40.00%
2022-10-31 22:06:35,6,1,50.00%
2022-10-31 22:06:36,6,1,50.00%
2022-10-31 22:06:36,6,1,50.00%
2022-10-31 22:06:36,6,1,50.00%
2022-10-31 22:06:36,6,1,50.00%
2022-10-31 22:06:36,6,1,50.00%
