Time,Number of Pedestrian,Danger groups,Risk Factor
2022-10-31 22:25:20,5,1,40.00%
2022-10-31 22:25:20,5,1,40.00%
2022-10-31 22:25:20,5,1,40.00%
2022-10-31 22:25:21,5,1,40.00%
2022-10-31 22:25:21,5,1,40.00%
2022-10-31 22:25:21,5,1,40.00%
2022-10-31 22:25:21,5,1,40.00%
2022-10-31 22:25:21,5,1,40.00%
2022-10-31 22:25:21,5,1,40.00%
2022-10-31 22:25:21,5,1,40.00%
2022-10-31 22:25:21,5,1,40.00%
2022-10-31 22:25:21,5,1,60.00%
2022-10-31 22:25:21,5,1,60.00%
2022-10-31 22:25:22,5,1,60.00%
2022-10-31 22:25:22,5,1,60.00%
2022-10-31 22:25:22,5,1,60.00%
2022-10-31 22:25:22,5,1,60.00%
2022-10-31 22:25:22,5,1,60.00%
2022-10-31 22:25:22,5,1,60.00%
2022-10-31 22:25:22,4,1,50.00%
2022-10-31 22:25:22,4,1,50.00%
2022-10-31 22:25:22,4,1,50.00%
2022-10-31 22:25:22,4,1,50.00%
2022-10-31 22:25:23,4,1,50.00%
2022-10-31 22:25:23,4,1,50.00%
2022-10-31 22:25:23,5,1,60.00%
2022-10-31 22:25:23,5,1,60.00%
2022-10-31 22:25:23,5,1,60.00%
2022-10-31 22:25:23,5,1,60.00%
2022-10-31 22:25:23,5,1,60.00%
2022-10-31 22:25:23,5,1,60.00%
2022-10-31 22:25:23,5,1,60.00%
2022-10-31 22:25:23,5,1,60.00%
2022-10-31 22:25:24,5,1,60.00%
2022-10-31 22:25:24,5,1,60.00%
2022-10-31 22:25:24,5,1,60.00%
2022-10-31 22:25:24,5,1,60.00%
2022-10-31 22:25:24,5,1,60.00%
2022-10-31 22:25:24,5,1,60.00%
2022-10-31 22:25:24,5,1,60.00%
2022-10-31 22:25:24,5,1,60.00%
2022-10-31 22:25:24,5,1,60.00%
2022-10-31 22:25:25,5,1,60.00%
2022-10-31 22:25:25,5,1,60.00%
2022-10-31 22:25:25,5,1,60.00%
2022-10-31 22:25:25,5,1,60.00%
2022-10-31 22:25:25,5,1,60.00%
2022-10-31 22:25:25,5,1,60.00%
2022-10-31 22:25:25,5,1,60.00%
2022-10-31 22:25:25,6,1,50.00%
2022-10-31 22:25:25,6,1,50.00%
2022-10-31 22:25:25,6,1,50.00%
2022-10-31 22:25:26,6,1,50.00%
2022-10-31 22:25:26,6,1,50.00%
2022-10-31 22:25:26,6,1,50.00%
2022-10-31 22:25:26,6,1,50.00%
2022-10-31 22:25:26,5,1,60.00%
2022-10-31 22:25:26,5,1,60.00%
2022-10-31 22:25:26,5,1,60.00%
2022-10-31 22:25:26,5,1,40.00%
2022-10-31 22:25:26,5,1,40.00%
2022-10-31 22:25:26,5,1,40.00%
2022-10-31 22:25:27,5,1,40.00%
2022-10-31 22:25:27,5,1,40.00%
2022-10-31 22:25:27,5,1,40.00%
2022-10-31 22:25:27,5,1,40.00%
2022-10-31 22:25:27,5,1,40.00%
2022-10-31 22:25:27,5,1,40.00%
2022-10-31 22:25:27,5,1,40.00%
2022-10-31 22:25:27,5,1,40.00%
2022-10-31 22:25:27,5,1,40.00%
2022-10-31 22:25:28,5,1,40.00%
2022-10-31 22:25:28,5,1,40.00%
2022-10-31 22:25:28,5,1,40.00%
2022-10-31 22:25:28,5,1,40.00%
2022-10-31 22:25:28,5,1,40.00%
2022-10-31 22:25:28,5,1,40.00%
2022-10-31 22:25:28,5,1,40.00%
2022-10-31 22:25:28,5,1,40.00%
2022-10-31 22:25:28,5,1,40.00%
2022-10-31 22:25:28,5,1,40.00%
2022-10-31 22:25:29,6,1,33.33%
2022-10-31 22:25:29,7,1,42.86%
2022-10-31 22:25:29,7,1,42.86%
2022-10-31 22:25:29,7,1,42.86%
2022-10-31 22:25:29,7,1,42.86%
2022-10-31 22:25:29,6,1,33.33%
2022-10-31 22:25:29,6,1,33.33%
2022-10-31 22:25:29,5,1,40.00%
2022-10-31 22:25:29,5,1,40.00%
2022-10-31 22:25:29,5,1,40.00%
2022-10-31 22:25:31,6,1,33.33%
2022-10-31 22:25:31,6,1,33.33%
2022-10-31 22:25:31,6,1,33.33%
2022-10-31 22:25:31,6,1,33.33%
2022-10-31 22:25:31,6,1,33.33%
2022-10-31 22:25:31,6,1,33.33%
2022-10-31 22:25:31,6,1,33.33%
2022-10-31 22:25:32,6,1,33.33%
2022-10-31 22:25:32,6,1,33.33%
2022-10-31 22:25:32,6,1,33.33%
2022-10-31 22:25:32,6,1,33.33%
2022-10-31 22:25:32,6,1,33.33%
2022-10-31 22:25:32,6,1,33.33%
2022-10-31 22:25:33,6,1,33.33%
2022-10-31 22:25:33,6,1,33.33%
2022-10-31 22:25:33,6,1,33.33%
2022-10-31 22:25:33,6,1,33.33%
2022-10-31 22:25:33,6,1,33.33%
2022-10-31 22:25:33,6,1,33.33%
2022-10-31 22:25:33,6,1,33.33%
2022-10-31 22:25:33,6,1,33.33%
2022-10-31 22:25:33,6,1,33.33%
2022-10-31 22:25:33,6,1,33.33%
2022-10-31 22:25:34,6,1,33.33%
2022-10-31 22:25:34,6,1,33.33%
2022-10-31 22:25:34,6,1,33.33%
2022-10-31 22:25:34,6,1,33.33%
2022-10-31 22:25:34,6,1,33.33%
2022-10-31 22:25:34,6,1,33.33%
2022-10-31 22:25:34,6,1,33.33%
2022-10-31 22:25:34,6,1,33.33%
2022-10-31 22:25:34,6,1,33.33%
2022-10-31 22:25:34,6,1,33.33%
2022-10-31 22:25:35,6,1,33.33%
2022-10-31 22:25:35,6,1,33.33%
2022-10-31 22:25:35,6,1,33.33%
2022-10-31 22:25:35,6,1,33.33%
2022-10-31 22:25:35,7,2,57.14%
2022-10-31 22:25:35,7,2,57.14%
2022-10-31 22:25:35,7,2,57.14%
2022-10-31 22:25:35,7,2,57.14%
2022-10-31 22:25:35,7,2,57.14%
2022-10-31 22:25:35,7,2,57.14%
2022-10-31 22:25:36,7,2,57.14%
2022-10-31 22:25:36,5,1,40.00%
2022-10-31 22:25:36,5,1,40.00%
2022-10-31 22:25:36,6,1,50.00%
2022-10-31 22:25:36,6,1,50.00%
2022-10-31 22:25:36,6,1,50.00%
2022-10-31 22:25:36,6,1,50.00%
2022-10-31 22:25:36,6,1,50.00%
2022-10-31 22:25:37,6,1,50.00%
2022-10-31 22:25:37,6,1,50.00%
2022-10-31 22:25:37,6,1,50.00%
2022-10-31 22:25:37,6,1,50.00%
2022-10-31 22:25:37,5,1,40.00%
2022-10-31 22:25:37,5,1,40.00%
2022-10-31 22:25:37,5,1,40.00%
2022-10-31 22:25:37,5,1,40.00%
2022-10-31 22:25:37,5,1,40.00%
2022-10-31 22:25:37,5,1,40.00%
2022-10-31 22:25:38,5,1,40.00%
2022-10-31 22:25:38,5,1,40.00%
2022-10-31 22:25:38,5,1,40.00%
2022-10-31 22:25:38,5,1,40.00%
2022-10-31 22:25:38,5,1,40.00%
2022-10-31 22:25:38,5,1,40.00%
2022-10-31 22:25:38,5,1,40.00%
2022-10-31 22:25:38,5,1,40.00%
2022-10-31 22:25:38,5,1,40.00%
2022-10-31 22:25:38,5,1,40.00%
2022-10-31 22:25:39,5,1,40.00%
2022-10-31 22:25:39,5,1,40.00%
2022-10-31 22:25:39,5,1,40.00%
2022-10-31 22:25:39,5,1,40.00%
2022-10-31 22:25:39,5,1,40.00%
2022-10-31 22:25:39,5,1,40.00%
2022-10-31 22:25:39,5,1,40.00%
2022-10-31 22:25:39,5,1,40.00%
2022-10-31 22:25:39,5,1,40.00%
2022-10-31 22:25:40,5,1,40.00%
2022-10-31 22:25:40,5,1,40.00%
2022-10-31 22:25:40,5,1,40.00%
2022-10-31 22:25:40,6,1,33.33%
2022-10-31 22:25:40,6,1,33.33%
2022-10-31 22:25:40,6,1,33.33%
2022-10-31 22:25:40,6,1,33.33%
2022-10-31 22:25:40,6,1,33.33%
2022-10-31 22:25:40,6,1,33.33%
2022-10-31 22:25:40,6,1,33.33%
2022-10-31 22:25:41,5,1,40.00%
2022-10-31 22:25:41,5,1,40.00%
2022-10-31 22:25:41,5,1,40.00%
2022-10-31 22:25:41,5,1,40.00%
2022-10-31 22:25:41,5,1,40.00%
2022-10-31 22:25:41,5,1,40.00%
2022-10-31 22:25:41,5,1,40.00%
2022-10-31 22:25:41,5,1,40.00%
2022-10-31 22:25:41,5,1,40.00%
2022-10-31 22:25:41,5,1,40.00%
