Time,Number of Pedestrian,Danger groups,Risk Factor
2022-10-31 22:28:17,5,1,40.00%
2022-10-31 22:28:17,5,1,40.00%
2022-10-31 22:28:17,5,1,40.00%
2022-10-31 22:28:17,5,1,40.00%
2022-10-31 22:28:17,5,1,40.00%
2022-10-31 22:28:18,5,1,40.00%
2022-10-31 22:28:18,5,1,40.00%
2022-10-31 22:28:18,5,1,40.00%
2022-10-31 22:28:18,5,1,40.00%
2022-10-31 22:28:18,5,1,40.00%
2022-10-31 22:28:18,5,1,40.00%
2022-10-31 22:28:18,5,1,60.00%
2022-10-31 22:28:18,5,1,60.00%
2022-10-31 22:28:18,5,1,60.00%
2022-10-31 22:28:18,5,1,60.00%
2022-10-31 22:28:19,5,1,60.00%
2022-10-31 22:28:19,5,1,60.00%
2022-10-31 22:28:19,5,1,60.00%
2022-10-31 22:28:19,4,1,50.00%
2022-10-31 22:28:19,4,1,50.00%
2022-10-31 22:28:19,4,1,50.00%
2022-10-31 22:28:19,4,1,50.00%
2022-10-31 22:28:19,4,1,50.00%
2022-10-31 22:28:19,4,1,50.00%
2022-10-31 22:28:19,5,1,60.00%
2022-10-31 22:28:20,5,1,60.00%
2022-10-31 22:28:20,5,1,60.00%
2022-10-31 22:28:20,5,1,60.00%
2022-10-31 22:28:20,5,1,60.00%
2022-10-31 22:28:20,5,1,60.00%
2022-10-31 22:28:20,5,1,60.00%
2022-10-31 22:28:20,5,1,60.00%
2022-10-31 22:28:20,5,1,60.00%
2022-10-31 22:28:20,5,1,60.00%
2022-10-31 22:28:20,5,1,60.00%
2022-10-31 22:28:21,5,1,60.00%
2022-10-31 22:28:21,5,1,60.00%
2022-10-31 22:28:21,5,1,60.00%
2022-10-31 22:28:21,5,1,60.00%
2022-10-31 22:28:21,5,1,60.00%
2022-10-31 22:28:21,5,1,60.00%
2022-10-31 22:28:21,5,1,60.00%
2022-10-31 22:28:21,5,1,60.00%
2022-10-31 22:28:21,5,1,60.00%
2022-10-31 22:28:22,5,1,60.00%
2022-10-31 22:28:22,5,1,60.00%
2022-10-31 22:28:22,5,1,60.00%
2022-10-31 22:28:22,5,1,60.00%
2022-10-31 22:28:22,6,1,50.00%
2022-10-31 22:28:22,6,1,50.00%
2022-10-31 22:28:22,6,1,50.00%
2022-10-31 22:28:22,6,1,50.00%
2022-10-31 22:28:22,6,1,50.00%
2022-10-31 22:28:22,6,1,50.00%
2022-10-31 22:28:23,6,1,50.00%
2022-10-31 22:28:23,5,1,60.00%
2022-10-31 22:28:23,5,1,60.00%
2022-10-31 22:28:23,5,1,60.00%
2022-10-31 22:28:23,5,1,40.00%
2022-10-31 22:28:23,5,1,40.00%
2022-10-31 22:28:23,5,1,40.00%
2022-10-31 22:28:23,5,1,40.00%
2022-10-31 22:28:23,5,1,40.00%
2022-10-31 22:28:23,5,1,40.00%
2022-10-31 22:28:24,5,1,40.00%
2022-10-31 22:28:24,5,1,40.00%
2022-10-31 22:28:24,5,1,40.00%
2022-10-31 22:28:24,5,1,40.00%
2022-10-31 22:28:24,5,1,40.00%
2022-10-31 22:28:24,5,1,40.00%
2022-10-31 22:28:24,6,1,50.00%
2022-10-31 22:28:24,6,1,50.00%
2022-10-31 22:28:24,6,1,50.00%
2022-10-31 22:28:24,6,1,50.00%
2022-10-31 22:28:25,6,1,50.00%
2022-10-31 22:28:25,6,1,50.00%
2022-10-31 22:28:25,6,1,50.00%
2022-10-31 22:28:25,5,1,40.00%
2022-10-31 22:28:25,5,1,40.00%
2022-10-31 22:28:25,5,1,40.00%
2022-10-31 22:28:25,6,1,33.33%
2022-10-31 22:28:25,6,1,33.33%
2022-10-31 22:28:28,6,1,33.33%
2022-10-31 22:28:28,6,1,33.33%
2022-10-31 22:28:28,6,1,33.33%
2022-10-31 22:28:28,6,1,33.33%
2022-10-31 22:28:28,6,1,33.33%
2022-10-31 22:28:29,6,1,33.33%
2022-10-31 22:28:29,6,1,33.33%
2022-10-31 22:28:29,6,1,33.33%
2022-10-31 22:28:29,6,1,33.33%
2022-10-31 22:28:29,6,1,50.00%
2022-10-31 22:28:30,6,1,50.00%
2022-10-31 22:28:30,6,1,50.00%
2022-10-31 22:28:30,6,1,33.33%
2022-10-31 22:28:30,6,1,33.33%
2022-10-31 22:28:31,6,1,33.33%
2022-10-31 22:28:31,6,1,33.33%
2022-10-31 22:28:31,6,1,33.33%
2022-10-31 22:28:31,6,1,33.33%
2022-10-31 22:28:31,6,1,33.33%
2022-10-31 22:28:31,6,1,33.33%
2022-10-31 22:28:32,6,1,33.33%
2022-10-31 22:28:32,6,1,33.33%
2022-10-31 22:28:32,6,1,33.33%
2022-10-31 22:28:32,6,1,33.33%
2022-10-31 22:28:32,6,1,33.33%
2022-10-31 22:28:32,6,1,33.33%
2022-10-31 22:28:32,6,1,33.33%
2022-10-31 22:28:32,6,1,33.33%
2022-10-31 22:28:32,6,1,33.33%
2022-10-31 22:28:33,5,1,40.00%
2022-10-31 22:28:33,5,1,40.00%
2022-10-31 22:28:33,6,1,50.00%
2022-10-31 22:28:33,6,1,50.00%
2022-10-31 22:28:33,6,1,50.00%
2022-10-31 22:28:33,6,1,50.00%
2022-10-31 22:28:33,6,1,50.00%
2022-10-31 22:28:33,6,1,50.00%
2022-10-31 22:28:33,6,1,50.00%
2022-10-31 22:28:33,6,1,50.00%
2022-10-31 22:28:34,6,1,50.00%
2022-10-31 22:28:34,5,1,40.00%
2022-10-31 22:28:34,5,1,40.00%
2022-10-31 22:28:34,5,1,40.00%
2022-10-31 22:28:34,5,1,40.00%
2022-10-31 22:28:34,5,1,40.00%
2022-10-31 22:28:34,5,1,40.00%
2022-10-31 22:28:34,5,1,40.00%
2022-10-31 22:28:34,5,1,40.00%
2022-10-31 22:28:34,5,1,40.00%
2022-10-31 22:28:35,5,1,40.00%
2022-10-31 22:28:35,5,1,40.00%
2022-10-31 22:28:35,5,1,40.00%
2022-10-31 22:28:35,5,1,40.00%
2022-10-31 22:28:35,5,1,40.00%
2022-10-31 22:28:35,5,1,40.00%
2022-10-31 22:28:35,5,1,40.00%
2022-10-31 22:28:35,5,1,40.00%
2022-10-31 22:28:35,5,1,40.00%
2022-10-31 22:28:35,5,1,40.00%
2022-10-31 22:28:36,5,1,40.00%
2022-10-31 22:28:36,5,1,40.00%
2022-10-31 22:28:36,5,1,40.00%
2022-10-31 22:28:36,5,1,40.00%
2022-10-31 22:28:36,5,1,40.00%
2022-10-31 22:28:36,5,1,40.00%
2022-10-31 22:28:36,5,1,40.00%
2022-10-31 22:28:36,5,1,40.00%
2022-10-31 22:28:36,5,1,40.00%
2022-10-31 22:28:36,6,1,33.33%
2022-10-31 22:28:37,6,1,33.33%
2022-10-31 22:28:37,6,1,33.33%
2022-10-31 22:28:37,6,1,33.33%
2022-10-31 22:28:37,6,1,33.33%
2022-10-31 22:28:37,6,1,33.33%
2022-10-31 22:28:37,6,1,33.33%
2022-10-31 22:28:37,5,1,40.00%
2022-10-31 22:28:37,5,1,40.00%
2022-10-31 22:28:37,5,1,40.00%
2022-10-31 22:28:38,5,1,40.00%
2022-10-31 22:28:38,5,1,40.00%
2022-10-31 22:28:38,5,1,40.00%
2022-10-31 22:28:38,5,1,40.00%
2022-10-31 22:28:38,5,1,40.00%
2022-10-31 22:28:38,5,1,40.00%
2022-10-31 22:28:38,5,1,40.00%
2022-10-31 22:28:38,5,1,40.00%
2022-10-31 22:28:38,5,1,40.00%
2022-10-31 22:28:38,5,1,40.00%
2022-10-31 22:28:40,4,1,50.00%
2022-10-31 22:28:41,4,1,50.00%
2022-10-31 22:28:41,4,1,50.00%
2022-10-31 22:28:41,4,1,50.00%
2022-10-31 22:28:41,4,1,50.00%
2022-10-31 22:28:41,4,1,50.00%
2022-10-31 22:28:41,4,1,50.00%
2022-10-31 22:28:41,4,1,50.00%
2022-10-31 22:28:41,4,1,50.00%
2022-10-31 22:28:41,4,1,50.00%
2022-10-31 22:28:41,4,1,50.00%
2022-10-31 22:28:42,4,1,50.00%
2022-10-31 22:28:42,4,1,50.00%
