Time,Number of Pedestrian,Danger groups,Risk Factor
2022-10-31 21:10:11,4,1,50.00%
2022-10-31 21:10:11,3,1,66.67%
2022-10-31 21:10:11,3,1,66.67%
2022-10-31 21:10:11,3,1,66.67%
2022-10-31 21:10:11,3,1,66.67%
2022-10-31 21:10:11,3,1,66.67%
2022-10-31 21:10:11,3,1,66.67%
2022-10-31 21:10:12,3,1,66.67%
2022-10-31 21:10:12,3,1,66.67%
2022-10-31 21:10:12,3,1,66.67%
2022-10-31 21:10:12,4,1,75.00%
2022-10-31 21:10:12,4,1,75.00%
2022-10-31 21:10:12,4,1,75.00%
2022-10-31 21:10:12,4,1,75.00%
2022-10-31 21:10:12,4,1,75.00%
2022-10-31 21:10:12,4,1,75.00%
2022-10-31 21:10:12,4,1,75.00%
2022-10-31 21:10:13,5,1,60.00%
2022-10-31 21:10:13,6,1,50.00%
2022-10-31 21:10:13,6,1,50.00%
2022-10-31 21:10:13,6,1,50.00%
2022-10-31 21:10:13,6,1,50.00%
2022-10-31 21:10:13,6,1,33.33%
2022-10-31 21:10:13,5,1,40.00%
2022-10-31 21:10:13,5,1,40.00%
2022-10-31 21:10:13,5,1,40.00%
2022-10-31 21:10:13,5,1,40.00%
2022-10-31 21:10:14,5,1,40.00%
2022-10-31 21:10:14,5,1,40.00%
2022-10-31 21:10:14,6,1,33.33%
2022-10-31 21:10:14,6,1,33.33%
2022-10-31 21:10:14,6,1,33.33%
2022-10-31 21:10:14,6,1,33.33%
2022-10-31 21:10:14,6,1,33.33%
2022-10-31 21:10:14,6,1,33.33%
2022-10-31 21:10:14,6,1,33.33%
2022-10-31 21:10:14,4,1,50.00%
2022-10-31 21:10:15,4,1,50.00%
2022-10-31 21:10:15,4,1,50.00%
2022-10-31 21:10:15,4,1,50.00%
2022-10-31 21:10:15,4,1,50.00%
2022-10-31 21:10:15,4,1,50.00%
2022-10-31 21:10:15,4,1,50.00%
2022-10-31 21:10:15,5,1,40.00%
2022-10-31 21:10:15,5,1,40.00%
2022-10-31 21:10:15,5,1,40.00%
2022-10-31 21:10:15,5,1,40.00%
2022-10-31 21:10:16,5,1,40.00%
2022-10-31 21:10:16,6,1,33.33%
2022-10-31 21:10:16,6,1,33.33%
2022-10-31 21:10:16,5,1,40.00%
2022-10-31 21:10:16,5,1,40.00%
2022-10-31 21:10:16,5,1,40.00%
2022-10-31 21:10:16,6,1,33.33%
2022-10-31 21:10:16,6,1,33.33%
2022-10-31 21:10:16,6,1,33.33%
2022-10-31 21:10:16,6,1,33.33%
2022-10-31 21:10:17,7,1,28.57%
2022-10-31 21:10:17,7,1,28.57%
2022-10-31 21:10:17,7,1,28.57%
2022-10-31 21:10:17,7,1,28.57%
2022-10-31 21:10:17,7,1,28.57%
2022-10-31 21:10:17,7,1,28.57%
2022-10-31 21:10:17,7,1,28.57%
2022-10-31 21:10:17,6,1,33.33%
2022-10-31 21:10:17,6,1,33.33%
2022-10-31 21:10:17,6,1,33.33%
2022-10-31 21:10:18,6,1,33.33%
2022-10-31 21:10:18,6,1,33.33%
2022-10-31 21:10:18,6,1,33.33%
2022-10-31 21:10:18,6,1,33.33%
2022-10-31 21:10:18,6,1,33.33%
2022-10-31 21:10:18,6,1,33.33%
2022-10-31 21:10:18,6,1,33.33%
2022-10-31 21:10:18,7,1,28.57%
2022-10-31 21:10:18,7,1,28.57%
2022-10-31 21:10:18,7,1,28.57%
2022-10-31 21:10:19,7,1,28.57%
2022-10-31 21:10:19,7,1,28.57%
2022-10-31 21:10:19,7,1,28.57%
2022-10-31 21:10:19,7,1,28.57%
2022-10-31 21:10:19,6,1,33.33%
2022-10-31 21:10:19,7,1,28.57%
2022-10-31 21:10:19,8,2,50.00%
2022-10-31 21:10:19,8,2,50.00%
2022-10-31 21:10:19,8,2,50.00%
2022-10-31 21:10:19,8,2,50.00%
2022-10-31 21:10:20,8,2,50.00%
2022-10-31 21:10:20,8,2,50.00%
2022-10-31 21:10:20,7,2,57.14%
2022-10-31 21:10:20,7,2,57.14%
2022-10-31 21:10:20,7,2,57.14%
2022-10-31 21:10:20,7,2,57.14%
2022-10-31 21:10:20,7,2,57.14%
2022-10-31 21:10:20,7,2,71.43%
2022-10-31 21:10:20,7,2,71.43%
2022-10-31 21:10:20,7,2,71.43%
2022-10-31 21:10:21,7,2,71.43%
2022-10-31 21:10:21,7,2,71.43%
2022-10-31 21:10:21,7,2,71.43%
2022-10-31 21:10:21,7,2,71.43%
2022-10-31 21:10:21,7,2,71.43%
2022-10-31 21:10:21,7,2,71.43%
2022-10-31 21:10:21,6,2,66.67%
2022-10-31 21:10:21,6,2,66.67%
2022-10-31 21:10:21,6,2,66.67%
