Time,Number of Pedestrian,Danger groups,Risk Factor
2022-10-31 22:31:35,5,1,40.00%
2022-10-31 22:31:36,5,1,40.00%
2022-10-31 22:31:36,5,1,40.00%
2022-10-31 22:31:36,5,1,40.00%
2022-10-31 22:31:36,5,1,40.00%
2022-10-31 22:31:36,5,1,40.00%
2022-10-31 22:31:36,5,1,40.00%
2022-10-31 22:31:36,5,1,40.00%
2022-10-31 22:31:36,5,1,40.00%
2022-10-31 22:31:36,5,1,40.00%
2022-10-31 22:31:36,5,1,40.00%
2022-10-31 22:31:37,5,1,60.00%
2022-10-31 22:31:37,5,1,60.00%
2022-10-31 22:31:37,5,1,60.00%
2022-10-31 22:31:37,5,1,60.00%
2022-10-31 22:31:37,5,1,60.00%
2022-10-31 22:31:37,5,1,60.00%
2022-10-31 22:31:37,5,1,60.00%
2022-10-31 22:31:37,4,1,50.00%
2022-10-31 22:31:37,4,1,50.00%
2022-10-31 22:31:37,4,1,50.00%
2022-10-31 22:31:38,4,1,50.00%
2022-10-31 22:31:38,4,1,50.00%
2022-10-31 22:31:38,4,1,50.00%
2022-10-31 22:31:38,5,1,60.00%
2022-10-31 22:31:38,5,1,60.00%
2022-10-31 22:31:38,5,1,60.00%
2022-10-31 22:31:38,5,1,60.00%
2022-10-31 22:31:38,5,1,60.00%
2022-10-31 22:31:38,5,1,60.00%
2022-10-31 22:31:38,5,1,60.00%
2022-10-31 22:31:39,5,1,60.00%
2022-10-31 22:31:39,5,1,60.00%
2022-10-31 22:31:39,5,1,60.00%
2022-10-31 22:31:39,5,1,60.00%
2022-10-31 22:31:39,5,1,60.00%
2022-10-31 22:31:39,5,1,60.00%
2022-10-31 22:31:39,5,1,60.00%
2022-10-31 22:31:39,5,1,60.00%
2022-10-31 22:31:39,5,1,60.00%
2022-10-31 22:31:40,5,1,60.00%
2022-10-31 22:31:40,5,1,60.00%
2022-10-31 22:31:40,5,1,60.00%
2022-10-31 22:31:40,5,1,60.00%
2022-10-31 22:31:40,5,1,60.00%
2022-10-31 22:31:40,5,1,60.00%
2022-10-31 22:31:40,5,1,60.00%
2022-10-31 22:31:40,5,1,60.00%
2022-10-31 22:31:40,6,1,50.00%
2022-10-31 22:31:40,6,1,50.00%
2022-10-31 22:31:41,6,1,50.00%
2022-10-31 22:31:41,6,1,50.00%
2022-10-31 22:31:41,6,1,50.00%
2022-10-31 22:31:41,6,1,50.00%
2022-10-31 22:31:41,6,1,50.00%
2022-10-31 22:31:41,5,1,60.00%
2022-10-31 22:31:41,5,1,60.00%
2022-10-31 22:31:41,5,1,60.00%
2022-10-31 22:31:41,5,1,40.00%
2022-10-31 22:31:41,5,1,40.00%
2022-10-31 22:31:42,5,1,40.00%
2022-10-31 22:31:42,5,1,40.00%
2022-10-31 22:31:42,5,1,40.00%
2022-10-31 22:31:42,5,1,40.00%
2022-10-31 22:31:42,5,1,40.00%
2022-10-31 22:31:42,5,1,40.00%
2022-10-31 22:31:42,5,1,40.00%
2022-10-31 22:31:42,5,1,40.00%
2022-10-31 22:31:42,5,1,40.00%
2022-10-31 22:31:42,5,1,40.00%
2022-10-31 22:31:43,6,1,50.00%
2022-10-31 22:31:43,6,1,50.00%
2022-10-31 22:31:43,6,1,50.00%
2022-10-31 22:31:43,6,1,50.00%
2022-10-31 22:31:43,6,1,50.00%
2022-10-31 22:31:43,6,1,50.00%
2022-10-31 22:31:43,6,1,50.00%
2022-10-31 22:31:43,6,1,50.00%
2022-10-31 22:31:43,6,1,50.00%
2022-10-31 22:31:43,5,1,40.00%
2022-10-31 22:31:44,6,1,33.33%
2022-10-31 22:31:44,7,1,42.86%
2022-10-31 22:31:44,7,1,42.86%
2022-10-31 22:31:44,7,1,42.86%
2022-10-31 22:31:44,7,1,42.86%
2022-10-31 22:31:44,6,1,33.33%
2022-10-31 22:31:44,6,1,33.33%
2022-10-31 22:31:44,5,1,40.00%
2022-10-31 22:31:44,5,1,40.00%
2022-10-31 22:31:44,5,1,40.00%
2022-10-31 22:31:45,6,1,50.00%
2022-10-31 22:31:45,6,1,50.00%
2022-10-31 22:31:45,6,1,50.00%
2022-10-31 22:31:45,6,1,33.33%
2022-10-31 22:31:46,6,1,33.33%
2022-10-31 22:31:46,6,1,33.33%
2022-10-31 22:31:46,6,1,33.33%
2022-10-31 22:31:47,6,1,33.33%
2022-10-31 22:31:47,6,1,33.33%
2022-10-31 22:31:47,6,1,33.33%
2022-10-31 22:31:47,6,1,33.33%
2022-10-31 22:31:47,6,1,33.33%
2022-10-31 22:31:47,6,1,33.33%
2022-10-31 22:31:47,6,1,33.33%
2022-10-31 22:31:47,6,1,33.33%
2022-10-31 22:31:47,6,1,33.33%
2022-10-31 22:31:47,6,1,33.33%
2022-10-31 22:31:48,6,1,33.33%
2022-10-31 22:31:48,6,1,33.33%
2022-10-31 22:31:48,6,1,33.33%
2022-10-31 22:31:48,6,1,50.00%
2022-10-31 22:31:48,6,1,50.00%
2022-10-31 22:31:48,6,1,50.00%
2022-10-31 22:31:48,6,1,33.33%
2022-10-31 22:31:48,6,1,33.33%
2022-10-31 22:31:48,6,1,33.33%
2022-10-31 22:31:48,6,1,33.33%
2022-10-31 22:31:49,6,1,33.33%
2022-10-31 22:31:49,6,1,33.33%
2022-10-31 22:31:49,6,1,33.33%
2022-10-31 22:31:49,6,1,33.33%
2022-10-31 22:31:49,6,1,33.33%
2022-10-31 22:31:49,6,1,33.33%
2022-10-31 22:31:49,6,1,33.33%
2022-10-31 22:31:49,6,1,33.33%
2022-10-31 22:31:49,6,1,33.33%
2022-10-31 22:31:49,6,1,33.33%
2022-10-31 22:31:50,6,1,33.33%
2022-10-31 22:31:50,6,1,33.33%
2022-10-31 22:31:50,6,1,33.33%
2022-10-31 22:31:50,6,1,33.33%
2022-10-31 22:31:50,6,1,33.33%
2022-10-31 22:31:50,6,1,33.33%
2022-10-31 22:31:50,6,1,33.33%
