Time,Number of Pedestrian,Danger groups,Risk Factor
2022-10-31 21:03:33,9,2,55.56%
2022-10-31 21:03:33,10,2,50.00%
2022-10-31 21:03:33,10,2,50.00%
2022-10-31 21:03:34,10,2,50.00%
2022-10-31 21:03:34,10,2,50.00%
2022-10-31 21:03:34,10,2,50.00%
2022-10-31 21:03:34,10,2,50.00%
2022-10-31 21:03:34,10,2,50.00%
2022-10-31 21:03:34,10,2,50.00%
2022-10-31 21:03:34,10,2,50.00%
2022-10-31 21:03:34,10,2,50.00%
2022-10-31 21:03:34,10,2,50.00%
2022-10-31 21:03:34,9,2,55.56%
2022-10-31 21:03:35,9,2,55.56%
2022-10-31 21:03:35,9,2,55.56%
2022-10-31 21:03:35,10,2,50.00%
2022-10-31 21:03:35,11,2,54.55%
2022-10-31 21:03:35,11,2,54.55%
2022-10-31 21:03:35,11,2,54.55%
2022-10-31 21:03:35,10,2,60.00%
2022-10-31 21:03:35,10,2,60.00%
2022-10-31 21:03:35,9,2,44.44%
2022-10-31 21:03:35,9,2,55.56%
2022-10-31 21:03:36,9,2,44.44%
2022-10-31 21:03:36,9,2,55.56%
2022-10-31 21:03:36,9,2,44.44%
2022-10-31 21:03:36,9,2,44.44%
2022-10-31 21:03:36,9,2,44.44%
2022-10-31 21:03:36,9,2,44.44%
2022-10-31 21:03:36,9,1,22.22%
2022-10-31 21:03:36,9,1,22.22%
2022-10-31 21:03:36,9,1,22.22%
2022-10-31 21:03:37,9,1,22.22%
2022-10-31 21:03:37,9,1,22.22%
2022-10-31 21:03:37,9,1,22.22%
2022-10-31 21:03:37,9,1,22.22%
2022-10-31 21:03:37,9,2,44.44%
2022-10-31 21:03:37,8,2,50.00%
2022-10-31 21:03:37,9,2,44.44%
2022-10-31 21:03:37,9,2,44.44%
2022-10-31 21:03:37,9,2,44.44%
2022-10-31 21:03:37,9,2,44.44%
2022-10-31 21:03:38,9,2,44.44%
2022-10-31 21:03:38,10,2,40.00%
2022-10-31 21:03:38,10,2,40.00%
2022-10-31 21:03:38,9,2,44.44%
2022-10-31 21:03:38,9,2,55.56%
2022-10-31 21:03:38,9,2,55.56%
2022-10-31 21:03:38,9,2,55.56%
2022-10-31 21:03:38,9,2,55.56%
2022-10-31 21:03:38,9,2,55.56%
2022-10-31 21:03:38,9,2,55.56%
2022-10-31 21:03:39,9,2,55.56%
2022-10-31 21:03:39,9,2,55.56%
2022-10-31 21:03:39,9,2,55.56%
2022-10-31 21:03:39,9,2,44.44%
2022-10-31 21:03:39,8,2,50.00%
2022-10-31 21:03:39,8,2,50.00%
2022-10-31 21:03:39,8,2,50.00%
2022-10-31 21:03:39,8,2,50.00%
2022-10-31 21:03:39,8,2,50.00%
2022-10-31 21:03:39,9,2,44.44%
2022-10-31 21:03:40,9,2,44.44%
2022-10-31 21:03:40,10,2,40.00%
2022-10-31 21:03:40,10,2,40.00%
2022-10-31 21:03:40,10,2,40.00%
2022-10-31 21:03:40,10,2,40.00%
2022-10-31 21:03:40,10,2,40.00%
2022-10-31 21:03:40,10,2,40.00%
2022-10-31 21:03:40,11,2,36.36%
2022-10-31 21:03:40,10,2,40.00%
2022-10-31 21:03:40,10,2,40.00%
2022-10-31 21:03:41,10,2,40.00%
2022-10-31 21:03:41,10,2,40.00%
2022-10-31 21:03:41,10,2,40.00%
2022-10-31 21:03:41,10,2,40.00%
2022-10-31 21:03:41,10,2,40.00%
2022-10-31 21:03:41,10,2,50.00%
2022-10-31 21:03:41,10,2,50.00%
2022-10-31 21:03:41,10,2,50.00%
2022-10-31 21:03:42,10,2,50.00%
2022-10-31 21:03:42,10,2,50.00%
2022-10-31 21:03:42,9,2,55.56%
2022-10-31 21:03:42,10,2,50.00%
2022-10-31 21:03:42,10,2,50.00%
2022-10-31 21:03:42,10,2,50.00%
2022-10-31 21:03:42,11,2,45.45%
2022-10-31 21:03:42,12,3,58.33%
2022-10-31 21:03:42,12,3,58.33%
2022-10-31 21:03:42,12,3,58.33%
2022-10-31 21:03:43,11,3,63.64%
2022-10-31 21:03:43,10,3,70.00%
2022-10-31 21:03:43,10,3,70.00%
2022-10-31 21:03:43,8,2,50.00%
