Time,Number of Pedestrian,Danger groups,Risk Factor
2022-10-31 22:03:01,5,1,40.00%
2022-10-31 22:03:01,5,1,40.00%
2022-10-31 22:03:01,5,1,40.00%
2022-10-31 22:03:01,5,1,40.00%
2022-10-31 22:03:01,5,1,40.00%
2022-10-31 22:03:01,5,1,40.00%
2022-10-31 22:03:02,5,1,40.00%
2022-10-31 22:03:02,5,1,40.00%
2022-10-31 22:03:02,5,1,40.00%
2022-10-31 22:03:02,5,1,40.00%
2022-10-31 22:03:02,5,1,40.00%
2022-10-31 22:03:02,5,1,60.00%
2022-10-31 22:03:02,5,1,60.00%
2022-10-31 22:03:02,5,1,60.00%
2022-10-31 22:03:02,5,1,60.00%
2022-10-31 22:03:02,5,1,60.00%
2022-10-31 22:03:03,5,1,60.00%
2022-10-31 22:03:03,5,1,60.00%
2022-10-31 22:03:03,4,1,50.00%
2022-10-31 22:03:03,4,1,50.00%
2022-10-31 22:03:03,4,1,50.00%
2022-10-31 22:03:03,4,1,50.00%
2022-10-31 22:03:03,4,1,50.00%
2022-10-31 22:03:03,4,1,50.00%
2022-10-31 22:03:03,5,1,60.00%
2022-10-31 22:03:03,5,1,60.00%
2022-10-31 22:03:04,5,1,60.00%
2022-10-31 22:03:04,5,1,60.00%
2022-10-31 22:03:04,5,1,60.00%
2022-10-31 22:03:04,5,1,60.00%
2022-10-31 22:03:04,5,1,60.00%
2022-10-31 22:03:04,5,1,60.00%
2022-10-31 22:03:04,5,1,60.00%
2022-10-31 22:03:04,5,1,60.00%
2022-10-31 22:03:04,5,1,60.00%
2022-10-31 22:03:04,6,1,50.00%
2022-10-31 22:03:05,6,1,50.00%
2022-10-31 22:03:05,6,1,50.00%
2022-10-31 22:03:05,6,1,50.00%
2022-10-31 22:03:05,6,1,50.00%
2022-10-31 22:03:05,6,1,50.00%
2022-10-31 22:03:05,5,1,60.00%
2022-10-31 22:03:05,5,1,60.00%
2022-10-31 22:03:05,5,1,60.00%
2022-10-31 22:03:05,5,1,60.00%
2022-10-31 22:03:06,5,1,60.00%
2022-10-31 22:03:06,5,1,60.00%
2022-10-31 22:03:06,5,1,60.00%
2022-10-31 22:03:06,6,1,50.00%
2022-10-31 22:03:06,6,1,50.00%
2022-10-31 22:03:06,6,1,50.00%
2022-10-31 22:03:06,6,1,50.00%
2022-10-31 22:03:06,6,1,50.00%
2022-10-31 22:03:06,6,1,50.00%
2022-10-31 22:03:06,6,1,50.00%
2022-10-31 22:03:07,5,1,60.00%
2022-10-31 22:03:07,5,1,60.00%
2022-10-31 22:03:07,5,1,60.00%
2022-10-31 22:03:07,5,1,40.00%
2022-10-31 22:03:07,5,1,40.00%
2022-10-31 22:03:07,5,1,40.00%
2022-10-31 22:03:07,5,1,40.00%
2022-10-31 22:03:07,5,1,40.00%
2022-10-31 22:03:07,5,1,40.00%
2022-10-31 22:03:07,5,1,40.00%
2022-10-31 22:03:08,5,1,40.00%
2022-10-31 22:03:08,5,1,40.00%
2022-10-31 22:03:08,6,1,50.00%
2022-10-31 22:03:08,6,1,50.00%
2022-10-31 22:03:08,6,1,50.00%
2022-10-31 22:03:08,6,1,50.00%
2022-10-31 22:03:08,6,1,50.00%
2022-10-31 22:03:08,6,1,50.00%
2022-10-31 22:03:08,6,1,50.00%
2022-10-31 22:03:08,6,1,50.00%
2022-10-31 22:03:09,6,1,50.00%
2022-10-31 22:03:09,6,1,50.00%
2022-10-31 22:03:09,6,1,50.00%
2022-10-31 22:03:09,6,1,50.00%
2022-10-31 22:03:09,6,1,50.00%
2022-10-31 22:03:09,7,1,42.86%
2022-10-31 22:03:09,7,1,42.86%
