Time,Number of Pedestrian,Danger groups,Risk Factor
2022-08-17 10:32:27,7,[-2 -1  0],0.8571428571428571
2022-08-17 10:32:29,8,[-2 -1  0],0.75
2022-08-17 10:32:30,9,[-2 -1  0],0.6666666666666666
2022-08-17 10:32:32,10,[-2 -1  0  1],0.8
2022-08-17 10:32:33,11,[-2 -1  0  1],0.8181818181818182
2022-08-17 10:32:35,12,[-2 -1  0  1],0.75
2022-08-17 10:32:36,13,[-2 -1  0  1  2],0.8461538461538461
2022-08-17 10:32:38,14,[-2 -1  0  1  2],0.8571428571428571
2022-08-17 10:32:39,15,[-2 -1  0  1  2],0.8
2022-08-17 10:32:41,16,[-2 -1  0  1  2],0.875
2022-08-17 10:32:42,16,[-2 -1  0  1  2],0.875
2022-08-17 10:32:44,16,[-2 -1  0  1  2],0.875
2022-08-17 10:32:45,16,[-2 -1  0  1  2],0.875
2022-08-17 10:32:47,16,[-2 -1  0  1  2],0.875
2022-08-17 10:32:49,16,[-2 -1  0  1  2],0.875
2022-08-17 10:32:50,16,[-2 -1  0  1  2],0.875
2022-08-17 10:32:52,16,[-2 -1  0  1  2],0.875
2022-08-17 10:32:53,16,[-2 -1  0  1  2],0.875
2022-08-17 10:32:55,16,[-2 -1  0  1  2],0.875
2022-08-17 10:32:56,16,[-2 -1  0  1  2],0.875
2022-08-17 10:32:58,16,[-2 -1  0  1  2],0.875
2022-08-17 10:32:59,16,[-2 -1  0  1  2],0.875
2022-08-17 10:33:01,16,[-2 -1  0  1  2],0.875
2022-08-17 10:33:03,16,[-2 -1  0  1  2],0.875
2022-08-17 10:33:04,16,[-2 -1  0  1  2],0.875
2022-08-17 10:33:06,16,[-2 -1  0  1  2],0.875
2022-08-17 10:33:07,16,[-2 -1  0  1  2],0.875
2022-08-17 10:33:09,16,[-2 -1  0  1  2],0.875
2022-08-17 10:33:10,16,[-2 -1  0  1  2],0.875
2022-08-17 10:33:12,16,[-2 -1  0  1  2],0.875
2022-08-17 10:33:14,16,[-2 -1  0  1  2],0.875
