Time,Number of Pedestrian,Danger groups,Risk Factor
2022-10-31 21:16:51,5,1,40.00%
2022-10-31 21:16:52,5,1,40.00%
2022-10-31 21:16:52,5,1,40.00%
2022-10-31 21:16:52,5,1,40.00%
2022-10-31 21:16:52,5,1,40.00%
2022-10-31 21:16:52,5,1,40.00%
2022-10-31 21:16:52,5,1,40.00%
2022-10-31 21:16:52,5,1,60.00%
2022-10-31 21:16:52,5,1,60.00%
2022-10-31 21:16:52,5,1,60.00%
2022-10-31 21:16:52,5,1,60.00%
2022-10-31 21:16:53,5,1,60.00%
2022-10-31 21:16:53,5,1,60.00%
2022-10-31 21:16:53,5,1,60.00%
2022-10-31 21:16:53,4,1,50.00%
2022-10-31 21:16:53,4,1,50.00%
2022-10-31 21:16:53,4,1,50.00%
2022-10-31 21:16:53,4,1,50.00%
2022-10-31 21:16:53,4,1,50.00%
2022-10-31 21:16:53,4,1,50.00%
2022-10-31 21:16:53,4,1,50.00%
2022-10-31 21:16:54,5,1,60.00%
2022-10-31 21:16:54,5,1,60.00%
2022-10-31 21:16:54,5,1,60.00%
2022-10-31 21:16:54,5,1,60.00%
2022-10-31 21:16:54,5,1,60.00%
2022-10-31 21:16:54,5,1,60.00%
2022-10-31 21:16:54,5,1,60.00%
2022-10-31 21:16:54,5,1,60.00%
2022-10-31 21:16:54,5,1,60.00%
2022-10-31 21:16:55,5,1,60.00%
2022-10-31 21:16:55,5,1,60.00%
2022-10-31 21:16:55,5,1,60.00%
2022-10-31 21:16:55,5,1,60.00%
2022-10-31 21:16:55,5,1,60.00%
2022-10-31 21:16:55,5,1,60.00%
2022-10-31 21:16:55,5,1,60.00%
2022-10-31 21:16:55,5,1,60.00%
2022-10-31 21:16:55,5,1,60.00%
2022-10-31 21:16:56,5,1,60.00%
2022-10-31 21:16:56,5,1,60.00%
2022-10-31 21:16:56,5,1,60.00%
2022-10-31 21:16:56,5,1,60.00%
2022-10-31 21:16:56,5,1,60.00%
2022-10-31 21:16:56,5,1,60.00%
2022-10-31 21:16:56,5,1,60.00%
2022-10-31 21:16:56,5,1,60.00%
2022-10-31 21:16:56,5,1,60.00%
2022-10-31 21:16:56,5,1,60.00%
2022-10-31 21:16:57,5,1,60.00%
2022-10-31 21:16:57,5,1,60.00%
2022-10-31 21:16:57,5,1,60.00%
2022-10-31 21:16:57,5,1,60.00%
2022-10-31 21:16:57,5,1,60.00%
2022-10-31 21:16:57,5,1,40.00%
2022-10-31 21:16:57,5,1,40.00%
2022-10-31 21:16:57,5,1,40.00%
2022-10-31 21:16:57,5,1,40.00%
2022-10-31 21:16:57,5,1,40.00%
2022-10-31 21:16:58,5,1,40.00%
2022-10-31 21:16:58,5,1,40.00%
2022-10-31 21:16:58,5,1,40.00%
2022-10-31 21:16:58,5,1,40.00%
2022-10-31 21:16:58,5,1,40.00%
2022-10-31 21:16:58,5,1,40.00%
2022-10-31 21:16:58,5,1,40.00%
2022-10-31 21:16:58,5,1,40.00%
2022-10-31 21:16:58,5,1,40.00%
2022-10-31 21:16:58,5,1,40.00%
2022-10-31 21:16:59,5,1,40.00%
2022-10-31 21:16:59,5,1,40.00%
2022-10-31 21:16:59,5,1,40.00%
2022-10-31 21:16:59,5,1,40.00%
2022-10-31 21:16:59,5,1,40.00%
2022-10-31 21:16:59,5,1,40.00%
2022-10-31 21:16:59,5,1,40.00%
2022-10-31 21:16:59,5,1,40.00%
2022-10-31 21:16:59,6,1,50.00%
2022-10-31 21:16:59,6,1,50.00%
2022-10-31 21:17:00,6,1,50.00%
2022-10-31 21:17:00,5,1,40.00%
2022-10-31 21:17:00,5,1,40.00%
2022-10-31 21:17:00,5,1,40.00%
2022-10-31 21:17:00,5,1,40.00%
2022-10-31 21:17:00,5,1,40.00%
2022-10-31 21:17:00,5,1,40.00%
2022-10-31 21:17:00,6,1,50.00%
2022-10-31 21:17:00,6,1,50.00%
2022-10-31 21:17:00,6,1,33.33%
2022-10-31 21:17:02,6,1,33.33%
2022-10-31 21:17:02,6,1,33.33%
2022-10-31 21:17:02,6,1,33.33%
2022-10-31 21:17:02,6,1,33.33%
2022-10-31 21:17:02,6,1,33.33%
2022-10-31 21:17:02,6,1,33.33%
2022-10-31 21:17:02,6,1,33.33%
2022-10-31 21:17:03,6,1,33.33%
2022-10-31 21:17:03,6,1,33.33%
2022-10-31 21:17:03,6,1,33.33%
2022-10-31 21:17:03,6,1,33.33%
2022-10-31 21:17:03,6,1,33.33%
2022-10-31 21:17:03,6,1,33.33%
2022-10-31 21:17:03,6,1,33.33%
2022-10-31 21:17:03,6,1,33.33%
2022-10-31 21:17:03,6,1,33.33%
2022-10-31 21:17:03,6,1,33.33%
2022-10-31 21:17:04,6,1,50.00%
2022-10-31 21:17:04,6,1,50.00%
2022-10-31 21:17:04,6,1,33.33%
2022-10-31 21:17:04,6,1,33.33%
2022-10-31 21:17:04,6,1,33.33%
2022-10-31 21:17:04,6,1,33.33%
2022-10-31 21:17:04,6,1,33.33%
2022-10-31 21:17:04,6,1,33.33%
2022-10-31 21:17:04,6,1,33.33%
2022-10-31 21:17:04,6,1,33.33%
2022-10-31 21:17:05,6,1,33.33%
2022-10-31 21:17:05,6,1,33.33%
2022-10-31 21:17:05,6,1,33.33%
2022-10-31 21:17:05,6,1,33.33%
2022-10-31 21:17:05,6,1,33.33%
2022-10-31 21:17:05,6,1,33.33%
2022-10-31 21:17:05,6,1,33.33%
2022-10-31 21:17:05,6,1,33.33%
2022-10-31 21:17:06,6,1,33.33%
2022-10-31 21:17:06,6,1,33.33%
2022-10-31 21:17:06,6,1,33.33%
2022-10-31 21:17:06,6,1,33.33%
2022-10-31 21:17:06,5,1,40.00%
2022-10-31 21:17:06,6,1,33.33%
2022-10-31 21:17:06,6,1,33.33%
2022-10-31 21:17:06,6,1,33.33%
2022-10-31 21:17:06,6,1,33.33%
2022-10-31 21:17:07,6,1,33.33%
2022-10-31 21:17:07,5,1,40.00%
2022-10-31 21:17:07,5,1,40.00%
2022-10-31 21:17:07,5,1,40.00%
2022-10-31 21:17:07,5,1,40.00%
2022-10-31 21:17:07,5,1,40.00%
2022-10-31 21:17:07,6,1,50.00%
2022-10-31 21:17:07,6,1,50.00%
2022-10-31 21:17:07,6,1,50.00%
2022-10-31 21:17:07,6,1,50.00%
2022-10-31 21:17:08,6,1,50.00%
2022-10-31 21:17:08,6,1,50.00%
2022-10-31 21:17:08,6,1,50.00%
2022-10-31 21:17:08,5,1,40.00%
2022-10-31 21:17:08,5,1,40.00%
2022-10-31 21:17:08,5,1,40.00%
2022-10-31 21:17:08,5,1,40.00%
2022-10-31 21:17:08,5,1,40.00%
2022-10-31 21:17:08,5,1,40.00%
2022-10-31 21:17:08,5,1,40.00%
2022-10-31 21:17:09,5,1,40.00%
2022-10-31 21:17:09,5,1,40.00%
2022-10-31 21:17:09,5,1,40.00%
2022-10-31 21:17:09,5,1,40.00%
2022-10-31 21:17:09,5,1,40.00%
2022-10-31 21:17:09,5,1,40.00%
2022-10-31 21:17:09,5,1,40.00%
