Time,Number of Pedestrian,Danger groups,Risk Factor
2022-10-31 22:07:33,5,1,40.00%
2022-10-31 22:07:33,5,1,40.00%
2022-10-31 22:07:33,5,1,40.00%
2022-10-31 22:07:33,5,1,40.00%
2022-10-31 22:07:33,5,1,40.00%
2022-10-31 22:07:34,5,1,40.00%
2022-10-31 22:07:34,5,1,40.00%
2022-10-31 22:07:34,5,1,40.00%
2022-10-31 22:07:34,5,1,40.00%
2022-10-31 22:07:34,5,1,40.00%
2022-10-31 22:07:34,5,1,40.00%
2022-10-31 22:07:34,5,1,60.00%
2022-10-31 22:07:34,5,1,60.00%
2022-10-31 22:07:34,5,1,60.00%
2022-10-31 22:07:34,5,1,60.00%
2022-10-31 22:07:35,5,1,60.00%
2022-10-31 22:07:35,5,1,60.00%
2022-10-31 22:07:35,5,1,60.00%
2022-10-31 22:07:35,4,1,50.00%
2022-10-31 22:07:35,4,1,50.00%
2022-10-31 22:07:35,4,1,50.00%
2022-10-31 22:07:35,4,1,50.00%
2022-10-31 22:07:35,4,1,50.00%
2022-10-31 22:07:35,4,1,50.00%
2022-10-31 22:07:35,5,1,60.00%
2022-10-31 22:07:36,5,1,60.00%
2022-10-31 22:07:36,5,1,60.00%
2022-10-31 22:07:36,5,1,60.00%
2022-10-31 22:07:36,5,1,60.00%
2022-10-31 22:07:36,5,1,60.00%
2022-10-31 22:07:36,5,1,60.00%
2022-10-31 22:07:36,5,1,60.00%
2022-10-31 22:07:36,5,1,60.00%
2022-10-31 22:07:36,5,1,60.00%
2022-10-31 22:07:36,5,1,60.00%
2022-10-31 22:07:37,5,1,60.00%
2022-10-31 22:07:37,5,1,60.00%
2022-10-31 22:07:37,5,1,60.00%
2022-10-31 22:07:37,5,1,60.00%
2022-10-31 22:07:37,5,1,60.00%
2022-10-31 22:07:37,5,1,60.00%
2022-10-31 22:07:37,5,1,60.00%
2022-10-31 22:07:37,5,1,60.00%
2022-10-31 22:07:37,5,1,60.00%
2022-10-31 22:07:38,5,1,60.00%
2022-10-31 22:07:38,5,1,60.00%
2022-10-31 22:07:38,5,1,60.00%
2022-10-31 22:07:38,5,1,60.00%
2022-10-31 22:07:38,6,1,50.00%
2022-10-31 22:07:38,6,1,50.00%
2022-10-31 22:07:38,6,1,50.00%
2022-10-31 22:07:38,6,1,50.00%
2022-10-31 22:07:38,6,1,50.00%
2022-10-31 22:07:39,6,1,50.00%
2022-10-31 22:07:39,6,1,50.00%
2022-10-31 22:07:39,5,1,60.00%
2022-10-31 22:07:39,5,1,60.00%
2022-10-31 22:07:39,5,1,60.00%
2022-10-31 22:07:39,5,1,40.00%
2022-10-31 22:07:39,5,1,40.00%
2022-10-31 22:07:39,5,1,40.00%
2022-10-31 22:07:39,5,1,40.00%
2022-10-31 22:07:39,5,1,40.00%
2022-10-31 22:07:40,5,1,40.00%
2022-10-31 22:07:40,5,1,40.00%
2022-10-31 22:07:40,5,1,40.00%
2022-10-31 22:07:40,5,1,40.00%
2022-10-31 22:07:40,5,1,40.00%
2022-10-31 22:07:40,5,1,40.00%
2022-10-31 22:07:40,5,1,40.00%
2022-10-31 22:07:40,6,1,50.00%
2022-10-31 22:07:40,6,1,50.00%
2022-10-31 22:07:40,6,1,50.00%
2022-10-31 22:07:41,6,1,50.00%
2022-10-31 22:07:41,6,1,50.00%
2022-10-31 22:07:41,6,1,50.00%
2022-10-31 22:07:41,6,1,50.00%
2022-10-31 22:07:41,5,1,40.00%
2022-10-31 22:07:41,5,1,40.00%
2022-10-31 22:07:41,5,1,40.00%
2022-10-31 22:07:41,6,1,33.33%
2022-10-31 22:07:41,6,1,33.33%
2022-10-31 22:07:44,6,1,33.33%
2022-10-31 22:07:44,6,1,33.33%
2022-10-31 22:07:44,6,1,33.33%
2022-10-31 22:07:44,6,1,33.33%
2022-10-31 22:07:44,6,1,33.33%
2022-10-31 22:07:45,6,1,33.33%
2022-10-31 22:07:45,6,1,33.33%
2022-10-31 22:07:45,6,1,33.33%
2022-10-31 22:07:45,6,1,33.33%
2022-10-31 22:07:45,6,1,50.00%
2022-10-31 22:07:46,6,1,50.00%
2022-10-31 22:07:46,6,1,50.00%
2022-10-31 22:07:46,6,1,33.33%
2022-10-31 22:07:46,6,1,33.33%
2022-10-31 22:07:47,6,1,33.33%
2022-10-31 22:07:47,6,1,33.33%
2022-10-31 22:07:47,6,1,33.33%
2022-10-31 22:07:47,6,1,33.33%
2022-10-31 22:07:47,6,1,33.33%
2022-10-31 22:07:47,6,1,33.33%
2022-10-31 22:07:48,6,1,33.33%
2022-10-31 22:07:48,6,1,33.33%
2022-10-31 22:07:48,6,1,33.33%
2022-10-31 22:07:48,6,1,33.33%
2022-10-31 22:07:48,6,1,33.33%
2022-10-31 22:07:48,6,1,33.33%
2022-10-31 22:07:48,6,1,33.33%
2022-10-31 22:07:48,6,1,33.33%
2022-10-31 22:07:48,6,1,33.33%
