Time,Number of Pedestrian,Danger groups,Risk Factor
2022-08-22 11:38:10,3,1,66.67%
2022-08-22 11:38:10,3,1,66.67%
2022-08-22 11:38:10,3,1,66.67%
2022-08-22 11:38:10,3,1,66.67%
2022-08-22 11:38:10,3,1,66.67%
2022-08-22 11:38:10,3,1,66.67%
2022-08-22 11:38:11,3,1,66.67%
2022-08-22 11:38:11,3,1,66.67%
2022-08-22 11:38:11,3,1,66.67%
2022-08-22 11:38:11,4,1,50.00%
2022-08-22 11:38:11,4,1,50.00%
2022-08-22 11:38:11,4,1,50.00%
2022-08-22 11:38:11,5,1,40.00%
2022-08-22 11:38:11,5,1,40.00%
2022-08-22 11:38:12,6,2,66.67%
2022-08-22 11:38:12,6,1,33.33%
2022-08-22 11:38:12,5,1,40.00%
2022-08-22 11:38:12,5,2,80.00%
2022-08-22 11:38:12,4,1,50.00%
2022-08-22 11:38:12,4,1,50.00%
2022-08-22 11:38:12,5,1,40.00%
2022-08-22 11:38:12,5,1,40.00%
2022-08-22 11:38:12,5,1,40.00%
2022-08-22 11:38:14,6,1,50.00%
2022-08-22 11:38:14,6,1,50.00%
2022-08-22 11:38:14,6,1,50.00%
2022-08-22 11:38:14,6,1,50.00%
2022-08-22 11:38:14,6,1,50.00%
2022-08-22 11:38:14,6,1,50.00%
2022-08-22 11:38:14,6,1,50.00%
2022-08-22 11:38:15,5,1,40.00%
2022-08-22 11:38:16,5,1,40.00%
2022-08-22 11:38:16,5,1,40.00%
2022-08-22 11:38:16,5,1,40.00%
2022-08-22 11:38:16,5,1,40.00%
2022-08-22 11:38:16,3,1,66.67%
2022-08-22 11:38:16,4,1,50.00%
2022-08-22 11:38:19,6,1,50.00%
2022-08-22 11:38:20,6,1,50.00%
2022-08-22 11:38:20,7,1,42.86%
2022-08-22 11:38:20,7,1,42.86%
2022-08-22 11:38:20,7,1,42.86%
2022-08-22 11:38:20,8,2,62.50%
2022-08-22 11:38:20,7,2,71.43%
2022-08-22 11:38:20,6,1,33.33%
2022-08-22 11:38:20,6,1,33.33%
2022-08-22 11:38:20,6,1,33.33%
2022-08-22 11:38:20,6,1,33.33%
2022-08-22 11:38:21,6,1,33.33%
2022-08-22 11:38:21,7,1,28.57%
2022-08-22 11:38:21,7,1,28.57%
2022-08-22 11:38:21,7,1,28.57%
2022-08-22 11:38:21,7,1,28.57%
2022-08-22 11:38:21,7,1,28.57%
2022-08-22 11:38:21,6,1,33.33%
2022-08-22 11:38:21,6,1,50.00%
2022-08-22 11:38:21,6,1,100.00%
2022-08-22 11:38:21,6,1,100.00%
2022-08-22 11:38:22,6,1,100.00%
2022-08-22 11:38:22,7,2,85.71%
2022-08-22 11:38:22,7,2,85.71%
2022-08-22 11:38:22,7,2,85.71%
2022-08-22 11:38:22,8,2,75.00%
2022-08-22 11:38:22,7,2,71.43%
2022-08-22 11:38:22,6,1,33.33%
2022-08-22 11:38:22,6,1,33.33%
2022-08-22 11:38:22,7,1,42.86%
2022-08-22 11:38:23,8,2,75.00%
2022-08-22 11:38:23,8,2,75.00%
2022-08-22 11:38:23,8,2,75.00%
2022-08-22 11:38:23,8,2,75.00%
2022-08-22 11:38:23,8,2,75.00%
2022-08-22 11:38:23,7,2,85.71%
2022-08-22 11:38:23,7,2,71.43%
2022-08-22 11:38:23,6,1,50.00%
2022-08-22 11:38:23,6,1,50.00%
2022-08-22 11:38:23,6,1,50.00%
2022-08-22 11:38:24,7,1,42.86%
2022-08-22 11:38:24,7,1,42.86%
2022-08-22 11:38:24,7,1,42.86%
2022-08-22 11:38:24,7,1,42.86%
2022-08-22 11:38:24,7,1,42.86%
2022-08-22 11:38:24,6,1,50.00%
2022-08-22 11:38:24,7,1,42.86%
2022-08-22 11:38:24,7,1,42.86%
2022-08-22 11:38:24,7,1,42.86%
2022-08-22 11:38:24,7,1,42.86%
2022-08-22 11:38:25,7,1,42.86%
2022-08-22 11:38:25,7,1,42.86%
2022-08-22 11:38:25,7,1,42.86%
2022-08-22 11:38:25,7,1,42.86%
2022-08-22 11:38:25,7,1,42.86%
2022-08-22 11:38:25,8,1,37.50%
2022-08-22 11:38:25,8,1,37.50%
2022-08-22 11:38:25,8,1,37.50%
2022-08-22 11:38:25,8,1,37.50%
2022-08-22 11:38:27,5,1,40.00%
2022-08-22 11:38:27,5,1,40.00%
2022-08-22 11:38:27,5,1,40.00%
2022-08-22 11:38:27,5,1,40.00%
2022-08-22 11:38:27,5,1,40.00%
2022-08-22 11:38:27,5,1,40.00%
2022-08-22 11:38:27,6,2,83.33%
2022-08-22 11:38:28,6,2,83.33%
2022-08-22 11:38:28,7,2,71.43%
2022-08-22 11:38:28,7,2,71.43%
2022-08-22 11:38:28,8,2,75.00%
2022-08-22 11:38:28,8,2,75.00%
2022-08-22 11:38:28,8,2,75.00%
2022-08-22 11:38:28,8,2,75.00%
2022-08-22 11:38:28,8,2,75.00%
2022-08-22 11:38:28,8,2,75.00%
2022-08-22 11:38:28,8,2,75.00%
2022-08-22 11:38:29,7,1,42.86%
2022-08-22 11:38:29,7,1,42.86%
2022-08-22 11:38:29,6,1,50.00%
2022-08-22 11:38:29,8,1,25.00%
2022-08-22 11:38:29,8,1,25.00%
2022-08-22 11:38:29,8,1,25.00%
2022-08-22 11:38:30,7,1,28.57%
2022-08-22 11:38:30,7,1,28.57%
2022-08-22 11:38:30,7,1,42.86%
2022-08-22 11:38:30,7,1,42.86%
2022-08-22 11:38:30,7,1,42.86%
2022-08-22 11:38:30,7,1,42.86%
2022-08-22 11:38:30,7,1,28.57%
2022-08-22 11:38:30,7,1,28.57%
2022-08-22 11:38:31,7,1,28.57%
2022-08-22 11:38:36,6,1,33.33%
2022-08-22 11:38:36,6,1,33.33%
2022-08-22 11:38:36,6,1,33.33%
2022-08-22 11:38:36,6,1,33.33%
2022-08-22 11:38:36,5,1,40.00%
2022-08-22 11:38:36,5,1,40.00%
2022-08-22 11:38:36,5,1,40.00%
2022-08-22 11:38:36,7,1,28.57%
2022-08-22 11:38:36,7,1,28.57%
2022-08-22 11:38:37,7,1,28.57%
2022-08-22 11:38:37,8,2,62.50%
2022-08-22 11:38:37,9,2,66.67%
2022-08-22 11:38:37,10,2,60.00%
2022-08-22 11:38:37,10,2,60.00%
2022-08-22 11:38:37,9,2,66.67%
2022-08-22 11:38:37,9,2,66.67%
2022-08-22 11:38:37,9,2,66.67%
2022-08-22 11:38:37,8,1,37.50%
2022-08-22 11:38:37,7,1,28.57%
2022-08-22 11:38:38,6,1,33.33%
2022-08-22 11:38:38,6,1,33.33%
2022-08-22 11:38:38,6,1,33.33%
2022-08-22 11:38:38,6,1,33.33%
2022-08-22 11:38:38,6,1,33.33%
2022-08-22 11:38:38,6,1,33.33%
2022-08-22 11:38:38,6,1,33.33%
2022-08-22 11:38:38,6,1,33.33%
2022-08-22 11:38:38,6,1,33.33%
2022-08-22 11:38:38,6,1,33.33%
2022-08-22 11:38:39,6,1,33.33%
2022-08-22 11:38:39,7,1,42.86%
2022-08-22 11:38:39,8,1,37.50%
2022-08-22 11:38:39,8,1,37.50%
2022-08-22 11:38:39,8,1,37.50%
2022-08-22 11:38:39,8,1,37.50%
2022-08-22 11:38:39,8,1,37.50%
2022-08-22 11:38:39,8,1,37.50%
2022-08-22 11:38:39,8,1,37.50%
2022-08-22 11:38:39,8,1,37.50%
2022-08-22 11:38:40,8,1,37.50%
2022-08-22 11:38:40,6,1,50.00%
2022-08-22 11:38:40,6,1,50.00%
2022-08-22 11:38:40,6,1,50.00%
2022-08-22 11:38:40,6,1,50.00%
2022-08-22 11:38:40,6,1,50.00%
2022-08-22 11:38:40,5,1,40.00%
2022-08-22 11:38:40,6,1,33.33%
2022-08-22 11:38:40,6,1,33.33%
2022-08-22 11:38:40,6,1,33.33%
2022-08-22 11:38:41,6,1,33.33%
2022-08-22 11:38:41,6,1,33.33%
2022-08-22 11:38:41,6,1,33.33%
2022-08-22 11:38:41,6,1,33.33%
2022-08-22 11:38:41,6,1,33.33%
2022-08-22 11:38:41,6,1,33.33%
2022-08-22 11:38:41,7,1,28.57%
2022-08-22 11:38:43,5,1,40.00%
2022-08-22 11:38:44,5,1,40.00%
2022-08-22 11:38:44,5,1,40.00%
2022-08-22 11:38:44,5,1,40.00%
2022-08-22 11:38:44,5,1,40.00%
2022-08-22 11:38:44,5,1,40.00%
2022-08-22 11:38:44,5,1,40.00%
2022-08-22 11:38:44,5,1,40.00%
2022-08-22 11:38:44,5,1,40.00%
2022-08-22 11:38:44,5,1,40.00%
2022-08-22 11:38:44,5,1,40.00%
2022-08-22 11:38:45,6,1,33.33%
2022-08-22 11:38:45,7,2,57.14%
2022-08-22 11:38:45,7,2,71.43%
2022-08-22 11:38:45,7,2,71.43%
2022-08-22 11:38:45,7,2,71.43%
2022-08-22 11:38:45,7,2,85.71%
2022-08-22 11:38:45,8,2,75.00%
